product_id,product_name,location,transcript,timestamp
1,Mobile Hotspot,"Phoenix, AZ",The screen is small but functional.,2024-02-05T11:00:00
1,Mobile Hotspot,"New York, NY","The admin page is broken, just shows a 404 error.",2024-07-09T18:00:00
2,Magenta Max,"Houston, TX",My bill is higher than promised after the 'upgrade'.,2024-03-16T15:00:00
3,Business Unlimited,"Miami, FL",The performance has been rock-solid. Exceeded expectations.,2024-06-09T23:00:00
2,Magenta Max,"Chicago, IL",Customer service can't explain the new charges.,2024-04-20T01:00:00
1,Mobile Hotspot,"Dallas, TX","Great speed, no issues so far.",2024-01-31T06:00:00
1,Mobile Hotspot,"Phoenix, AZ",Links on the settings page are broken.,2024-05-30T18:00:00
1,Mobile Hotspot,"Phoenix, AZ",The power button is completely stuck!,2024-04-30T06:00:00
1,Mobile Hotspot,"Houston, TX","I can't find the 'connect' link, is it invisible?",2024-04-10T04:00:00
1,Mobile Hotspot,"Phoenix, AZ",Getting constant 'SIM not found' errors.,2024-06-09T08:00:00
1,Mobile Hotspot,"Phoenix, AZ","The screen won't load, it's just blank.",2024-04-05T23:00:00
1,Mobile Hotspot,"Houston, TX","The screen won't load, it's just blank.",2024-03-16T07:00:00
2,Magenta Max,"Atlanta, GA",My bill is higher than promised after the 'upgrade'.,2024-01-01T03:00:00
